"","dPSI_iPSC.6866.10x"
"ASAP1",0.994
"ARL15",0.985
"POMT2",0.969
"C12orf4",0.959274086047803
"ZNF66",0.923071472070344
"EVC",0.909365859452335
"LNPK",0.874383710337361
"KDM6A",0.86
"ZFP82",0.859526530457158
"GRAMD2B",0.859
"HDX",0.839
"ZNF730",0.831065595873392
"TNRC6A",0.829742689700795
"BECN1",0.825957779805303
"ERGIC3",0.821
"LINC02210",0.814700125156275
"EXOC6B",0.802
"LARP7",0.787
"FBN2",0.774056764370165
"PDE7A",0.757
"TIAM1",0.746259659914658
"ABCB8",0.745339744721164
"C14orf132",0.743
"ZNF680",0.741619251206852
"HSD17B4",0.737365037946084
"TMEM214",0.736028967214086
"ZMYM6",0.734397637628004
"SPIDR",0.734282492911137
"ODR4",0.727553976688667
"CACNA2D1",0.723888464385034
"MMS22L",0.709762430695291
"RASGRP2",0.70795814939547
"CCT7",0.702
"AXIN1",0.701
"RNF144A",0.692996017134309
"MAN1B1",0.690907064445698
"GXYLT1",0.689252087026932
"DENND1A",0.68798375535541
"APPL2",0.687705673632509
"NAV2",0.687
"VPS29",0.684
"ANXA11",0.683
"RCOR3",0.681193460247042
"LRRC42",0.677
"ASAP2",0.663
"WNK1",0.642908882544356
"ADAL",0.631193403976722
"DHFR",0.628675514729895
"CRYM",0.623015528232703
"MTMR3",0.616241788959084
"GPSM2",0.614301042313483
"TRIM37",0.614249270568054
"EMSY",0.614119948201691
"ZNF138",0.611862909628378
"TAF2",0.608
"LYRM1",0.597
"RAF1",0.588
"AC114490.2",0.582270107730264
"ARHGAP5",0.580738916107328
"SENP6",0.58
"CENPI",0.579315309199301
"PRKACB",0.567319731356204
"NUP58",0.563
"PLCH1",0.562070786970287
"STOX2",0.560599964654904
"PNISR",0.556770475387908
"SNHG29",0.551102770504129
"RAP1A",0.55
"CIP2A",0.543840409324446
"LINC00678",0.533451221809831
"DYRK1A",0.53059867549832
"EXTL2",0.530054136405478
"CLASP2",0.52997189013208
"TENT2",0.528821864364151
"MYCBP2",0.528
"USP43",0.527550317001683
"ENAH",0.526151891024969
"SKP1",0.520478267900514
"TCF4",0.512486567882338
"PITPNB",0.511587838845821
"TPTEP2",0.510959360166664
"TASOR2",0.51
"SNHG5",0.506
"DPH1",0.504422155588135
"MYLK",0.500661475560895
"ZNF618",0.494
"DCAF17",0.490880651204327
"MLLT10",0.490048355027184
"SNX24",0.4896132285032
"POLR2J3",0.485116747728141
"SLC7A6",0.483534531967366
"CMTM8",0.478091589522087
"IFT57",0.475857121561015
"USP9Y",0.474788081267762
"FAAP20",0.474
"PRKG1",0.473350634475018
"TASP1",0.469195305219467
"SETDB2",0.46588664098136
"ANKHD1",0.46510353560961
"ZNF350",0.460241505729328
"DLGAP4",0.456
"MADD",0.454
"CHD9",0.45062999613204
"SUPT20H",0.450118714900218
"NR1H3",0.446027557976564
"STRN4",0.445241696344135
"CDC37L1",0.444081727191324
"FOXM1",0.444
"PDXDC1",0.443124651184855
"MRPL39",0.441505714663447
"GNAQ",0.441345621003027
"TXLNGY",0.441
"NOP56",0.438776728863239
"HS3ST5",0.437114120315552
"XRN2",0.433957716319187
"ASCC3",0.433157765763112
"SH3YL1",0.43
"APLP2",0.429
"TBC1D25",0.427892291451791
"HACL1",0.422373574432752
"ANKHD1-EIF4EBP3",0.421004156605436
"OGT",0.419
"AC008581.2",0.417896016769927
"PTPRG-AS1",0.41720009828229
"AGGF1",0.416410940797877
"MZT2B",0.415263450982149
"OCLN",0.414822133500011
"ADGRL1",0.412613417646136
"SMYD2",0.412
"ZMIZ2",0.404
"OCLNP1",0.399784137937867
"KIF21A",0.399434224880496
"JAKMIP2-AS1",0.399017552143225
"MATK",0.395734474260625
"ELMO2",0.393485002403969
"CLN3",0.391
"CEP162",0.390962511948761
"SYTL2",0.39
"CLK4",0.389
"MFN2",0.388362842854153
"HMGA2",0.387871308738214
"STK19",0.384
"AC020915.3",0.382545948213116
"ANKRD18CP",0.381858833414527
"UBN1",0.381637951035377
"ARMCX6",0.381
"ARHGAP1",0.3808558828009
"STRN3",0.379
"UBAC2",0.376107849409233
"SSBP1",0.375562046205794
"WDR27",0.375
"DENND5A",0.372202719071403
"EXOSC8",0.36
"STRN",0.358773095146804
"ZNF43",0.356209216033169
"AC138894.1",0.352
"FAM174A",0.348032431020614
"PPIA",0.348
"SHMT2",0.348
"UVRAG",0.347549458999841
"FAM162A",0.345
"SREK1",0.340790031868441
"ZNF519",0.34
"PFDN5",0.336
"SERGEF",0.333026505089373
"ADCY5",0.333
"RBBP8",0.333
"AGER",0.330836304924368
"TJP2",0.329646241239443
"NUDT6",0.32410272742663
"THOP1",0.324
"ZNF268",0.324
"SLC25A17",0.322
"RAB23",0.321815002072931
"EP400P1",0.32
"RSRP1",0.318
"PYCR1",0.315234927848133
"GGCT",0.314
"GOLT1B",0.314
"SGCE",0.314
"RERE",0.309032878074148
"CAPRIN2",0.309
"HMGN1",0.308
"TARBP1",0.306
"MFSD14C",0.305
"ANK3",0.302762437152797
"SCLY",0.301
"ZDHHC11",0.301
"CMSS1",0.293394765556119
"MRPL45",0.293076926328064
"ERRFI1",0.292617141579038
"RCC1",0.289702422631892
"HIF3A",0.287426189531333
"TAZ",0.28718043615218
"ADAM23",0.286855221492736
"APBB2",0.284526518552666
"ADGRV1",0.281894898608897
"TACC1",0.281416244815571
"SOCS6",0.279741521724543
"FAM13B",0.266027629414488
"SF3B3",0.264413305492644
"RIPOR2",0.263451153631547
"ELP5",0.261726125686327
"IVD",0.261425433132238
"CARD19",0.258507539575114
"NPFFR2",0.258238635775721
"SYT14",0.25650221201914
"FAM157A",0.255218310696734
"TET1",0.253205090130708
"AVL9",0.251361451701724
"APIP",0.250438605709289
