	BIO1755497.NGN2.40nM	BIO2006152.NGN2.45nM	BIO2059811.NGN2.261nM	BIO2135644.NGN2.300nM
ABCB8	1	1	1	1
AC138894.1	1	1	1	1
ADAM17	1	1	1	1
AL031315.1	1	1	1	1
APIP	1	1	1	1
APLP2	1	1	1	1
ARL15	1	1	1	1
ARMH3	1	1	1	1
ASCC3	1	1	1	1
AXIN1	1	1	1	1
C12orf4	1	1	1	1
CACNA1H	1	1	1	1
CLASP2	1	1	1	1
CLN3	1	1	1	1
DENND1A	1	1	1	1
DHFR	1	1	1	1
DLGAP4	1	1	1	1
ENAH	1	1	1	1
EVC	1	1	1	1
EXOC6B	1	1	1	1
FAAP20	1	1	1	1
GALC	1	1	1	1
GCFC2	1	1	1	1
GGCT	1	1	1	1
GXYLT1	1	1	1	1
HDX	1	1	1	1
KDM6A	1	1	1	1
KLHL1	1	1	1	1
LARP7	1	1	1	1
LIMCH1	1	1	1	1
LINC02210	1	1	1	1
LRIG2	1	1	1	1
LRRC42	1	1	1	1
MELTF	1	1	1	1
MYCBP2	1	1	1	1
NKAIN2	1	1	1	1
PCDH10	1	1	1	1
PDE7A	1	1	1	1
PNISR	1	1	1	1
POMT2	1	1	1	1
RAF1	1	1	1	1
RAPGEF1	1	1	1	1
RBBP8	1	1	1	1
SENP6	1	1	1	1
SERGEF	1	1	1	1
SETX	1	1	1	1
SKP1	1	1	1	1
SLC25A17	1	1	1	1
SLC7A6	1	1	1	1
STRN	1	1	1	1
STRN3	1	1	1	1
STX18-AS1	1	1	1	1
SULF1	1	1	1	1
TAF2	1	1	1	1
TENT2	1	1	1	1
TIAM1	1	1	1	1
TSPAN7	1	1	1	1
VPS29	1	1	1	1
WDR17	1	1	1	1
WDR27	1	1	1	1
XRN2	1	1	1	1
ZFP82	1	1	1	1
ZMYM6	1	1	1	1
AC010538.1	1	0	1	1
AC026786.1	1	0	1	1
AC114490.2	1	0	1	1
ADGRL1	1	0	1	1
AGPS	1	0	1	1
C14orf132	1	1	0	1
C19orf47	1	0	1	1
CACNA1C	1	0	1	1
CACNB4	1	1	0	1
CDC37L1	1	0	1	1
CHD9	1	0	1	1
CLK4	1	0	1	1
CNGA3	0	1	1	1
COPS7B	1	0	1	1
CSTF3	1	1	0	1
CYB5B	1	0	1	1
DENND5A	0	1	1	1
DNAJC27	1	0	1	1
DPH1	1	0	1	1
DPY30	1	0	1	1
ELMO2	1	0	1	1
EMSY	1	0	1	1
ENOX1	1	0	1	1
ERCC8	1	0	1	1
FAM162A	1	0	1	1
FAM174A	1	0	1	1
FGD4	1	0	1	1
GABRB2	1	0	1	1
GPHN	1	0	1	1
HAUS3	1	0	1	1
HTT	0	1	1	1
LYRM1	1	1	0	1
MATK	0	1	1	1
MEMO1	1	0	1	1
MFN2	1	0	1	1
MLLT10	1	0	1	1
MSL3	1	0	1	1
NUP58	1	1	0	1
PMS1	1	0	1	1
PRUNE2	0	1	1	1
PTPRT	1	0	1	1
RAP1A	1	0	1	1
RCC1	1	1	0	1
RUNDC3B	1	0	1	1
SCO1	1	0	1	1
SF3B1	1	1	0	1
SNAP23	1	0	1	1
SPRYD7	1	0	1	1
SREK1	1	0	1	1
STRN4	1	0	1	1
STXBP5L	1	0	1	1
TET1	1	0	1	1
TMEM50B	1	1	0	1
TPTEP2	1	0	1	1
USP9Y	1	0	1	1
WNK1	1	1	0	1
WNK3	1	0	1	1
ZMIZ2	1	0	1	1
ZNF618	1	0	1	1
AC009022.1	0	0	1	1
AC022433.1	1	0	0	1
AC068205.2	0	0	1	1
AC068547.1	1	0	0	1
ADAMTS10	0	0	1	1
AKAP9	0	0	1	1
AL157871.6	0	0	1	1
ATP7B	0	0	1	1
BECN1	1	0	0	1
BEND6	0	0	1	1
CCDC3	0	0	1	1
CDC42BPA	0	0	1	1
CDH18	0	0	1	1
CHN2	0	0	1	1
CHORDC1	0	0	1	1
CPLX2	0	0	1	1
CRYL1	1	0	0	1
CTTNBP2	0	0	1	1
DCAF17	0	0	1	1
DENND1B	0	0	1	1
DOCK3	0	0	1	1
EIF2D	0	0	1	1
FAM124A	0	0	1	1
FAM174C	0	0	1	1
FGF12	0	0	1	1
FNIP2	0	0	1	1
FUS	0	1	0	1
GLRA3	0	0	1	1
GNAQ	1	0	0	1
GRIA1	0	0	1	1
HIKESHI	0	0	1	1
HMGN1	0	0	1	1
HSD17B12	0	0	1	1
IFT57	0	0	1	1
IVD	0	0	1	1
LARS2	0	0	1	1
LINC01011	1	0	0	1
LINGO2	0	0	1	1
LMAN2L	0	0	1	1
LMBRD2	0	0	1	1
LUC7L3	0	0	1	1
MED13L	0	0	1	1
MRPL39	1	0	0	1
MTERF3	0	0	1	1
MTHFSD	1	0	0	1
NLGN1	0	0	1	1
NUTM2A-AS1	0	0	1	1
PDIA5	0	0	1	1
PDXDC2P	0	0	1	1
PIGN	0	0	1	1
PPHLN1	0	0	1	1
PRICKLE1	0	0	1	1
PRPF39	0	0	1	1
RAB2B	0	0	1	1
RBCK1	0	0	1	1
SCLT1	0	0	1	1
SEC22A	0	0	1	1
SF3B3	1	0	0	1
SH3YL1	1	0	0	1
SLC24A3	0	0	1	1
SORCS1	0	0	1	1
SOS2	0	0	1	1
SSBP1	1	0	0	1
SUPT20H	0	0	1	1
TAF5L	0	0	1	1
TASP1	0	0	1	1
THSD7B	0	0	1	1
TNPO3	0	0	1	1
TP53INP1	0	0	1	1
UBAP2L	0	0	1	1
VAV2	0	0	1	1
VSTM2L	0	0	1	1
WDR91	0	0	1	1
WSB1	0	0	1	1
ZNF433	0	0	1	1
ZNF804A	0	0	1	1
AC104452.1	0	0	0	1
ANP32A	0	0	0	1
CCT6B	0	0	0	1
CIPC	0	0	0	1
DECR2	0	0	0	1
EPM2A	0	0	0	1
ERCC6L2	0	0	0	1
ERICH1	0	0	0	1
ERVK13-1	0	0	0	1
EWSR1	0	0	0	1
EXTL2	0	0	0	1
FCHO1	0	0	0	1
FHOD3	0	0	0	1
GARNL3	0	0	0	1
INVS	0	0	0	1
KCNC1	0	0	0	1
KIAA0895L	0	0	0	1
LINC00963	0	0	0	1
MARCHF8	0	0	0	1
MUTYH	0	0	0	1
MYT1	0	0	0	1
NEK11	0	0	0	1
NR6A1	0	0	0	1
PBLD	0	0	0	1
PIGT	0	0	0	1
PRKACB	0	0	0	1
REPS1	0	0	0	1
SLC41A3	0	0	0	1
STOX2	0	0	0	1
ZMYM2	0	0	0	1